epoch,lr,train_loss,val_loss,val_pixel_acc,val_macro_iou,val_macro_dice,val_iou_Background,val_iou_Seagrass,val_iou_Coral,val_iou_Macroalgae,val_iou_Sand,val_iou_Land,val_iou_Ocean,val_dice_Background,val_dice_Seagrass,val_dice_Coral,val_dice_Macroalgae,val_dice_Sand,val_dice_Land,val_dice_Ocean
1,9.96057350657239e-05,1.23479809820652,1.1201790312062139,0.5636450873480903,0.241439262825451,0.3310657633618582,3.0740167338292746e-05,0.03332641524699327,0.22350892387683716,0.2675993876861459,0.003484871132369584,0.6882282035003234,0.4738962981681494,6.147844481890407e-05,0.06450317103144479,0.36535724344146486,0.4222144476964717,0.006945537960003575,0.8153260348018958,0.6430524301569077
2,9.842915805643155e-05,0.968964034318924,0.9304365632326707,0.6928024291992188,0.33662427033818754,0.4236193200262832,5.599260897561522e-06,0.08215226086548705,0.3080134599658964,0.41221638680576034,0.013439666618293974,0.8769777259788737,0.6635647928721037,1.1198459092028936e-05,0.15183124193592326,0.47096374677050673,0.5837864376267963,0.02652287464361891,0.9344572541706812,0.7977624865773643
3,9.648882429441257e-05,0.885773531794548,0.9116949568624082,0.6579255845811632,0.32434865127248846,0.4263130042912599,0.0,0.22278744952670948,0.22985770032967773,0.407214076185042,0.028155771746920223,0.854851561648868,0.5275739994702019,0.0,0.3643927644382371,0.37379560296782577,0.5787521359777746,0.05476946688551148,0.9217466015328458,0.6907344582366246
4,9.381533400219318e-05,0.7412516471743583,0.6898220622021219,0.7667051527235244,0.4126437136102946,0.5028064308043777,0.0,0.23284324745589977,0.3356468830176072,0.5277572518642138,0.043624385974595316,0.916267067740128,0.8323671592196186,0.0,0.37773374342017285,0.5025982350354237,0.6908915028486745,0.08360169915703225,0.9563041427421601,0.9085156924271803
5,9.045084971874738e-05,0.6746066355705261,0.7742413036201311,0.7294169108072917,0.4046179043703947,0.5171438718550921,0.0,0.28679330244966533,0.27073739929720403,0.4844770245618062,0.19291112655850207,0.8766261126033602,0.7207803651222251,0.0,0.44574882679867484,0.42611069674495844,0.6527241803621933,0.3234291679633209,0.9342576091379818,0.8377366219785161
6,8.644843137107059e-05,0.664064283668995,0.7605759838353032,0.7403674655490451,0.42789368812765155,0.5386278884734744,0.0,0.33853766350605147,0.2864081102100975,0.5098493920880103,0.1963456198935035,0.8710531078370901,0.7930619233588081,0.0,0.5058321072853711,0.4452834336738145,0.6753645691547104,0.3282423016034143,0.9310832537981936,0.8845895537988168
7,8.18711994874345e-05,0.6367951744794845,0.6169725238629009,0.7854022555881076,0.4591773673521648,0.5652268883349653,0.0,0.33067826010028406,0.3215871802760383,0.5886585588934719,0.2259514534012586,0.9302053881763791,0.817160730617722,0.0,0.4970070828020638,0.48666812916400837,0.7410762439771611,0.3686140307993156,0.963840836705175,0.8993818948970331
8,7.679133974894983e-05,0.6125181275606155,0.6341938318117805,0.7779766506618924,0.46695690968069165,0.5783128062086433,0.0,0.33572748678545833,0.47954069000025884,0.45395533922412307,0.2602518218895769,0.9035130261216313,0.8357100037437932,0.0,0.5026885949519764,0.6482291338674504,0.6244419301989952,0.41301558524924736,0.9493111039670903,0.9105032952257439
9,7.128896457825363e-05,0.585448380112648,0.6714623259461444,0.7717330932617188,0.4543171891745593,0.5722961416815233,0.0,0.2807154709711047,0.5340976160999625,0.44207578063019504,0.3198868231959635,0.8978133723610935,0.7056312609635961,0.0,0.4383728897383456,0.6963019960330353,0.6131103324362129,0.48471856461358115,0.9461555972114504,0.8274136117380375
10,6.545084971874737e-05,0.5117228224873542,0.6362494385760763,0.7895326402452257,0.46627116863845747,0.5826822243980553,0.0,0.3657783343442842,0.3979784573633703,0.4220784810267175,0.3720309990279653,0.9274907012380904,0.7785412074687745,0.0,0.5356335287305548,0.5693627899159043,0.5936078587195606,0.5423069876577656,0.9623815052828351,0.8754829004797666
11,5.936906572928624e-05,0.5368954545259476,0.8066238197295562,0.6474699232313368,0.33817720136013996,0.45609142080845294,0.0,0.35520579194447627,0.363438542457481,0.2270115658538807,0.26126287886484073,0.9131180381736438,0.24720359222665708,0.0,0.5242093769903683,0.5331205347949372,0.3700235143193662,0.41428774800695317,0.9545861990254935,0.39641257252205253
12,5.313952597646568e-05,0.4900941625237465,0.6859745292559914,0.7699612087673611,0.45627474760084274,0.5730154275177265,0.0,0.38605259833439687,0.30181471416723044,0.47310136605945424,0.37116557072179573,0.9456143221764045,0.7161746617466175,0.0,0.5570533164445732,0.4636830585530768,0.6423201783119654,0.5413869464741743,0.9720470407707739,0.8346174520695215
13,4.6860474023534335e-05,0.489078044295311,0.6240724169689676,0.7833245171440972,0.48518729444294617,0.6009851352976583,0.0,0.48021833587227836,0.3492930374855288,0.5528224054724834,0.351607646354529,0.9391484864385726,0.7232211494772313,0.0,0.648847976321399,0.517742295826936,0.7120227059117864,0.5202806410615729,0.9686194667468777,0.8393828612150365
14,4.0630934270713774e-05,0.44310110062360764,0.69367690190025,0.7724590725368924,0.4631074657049493,0.5801632172517011,0.0,0.4418174853591018,0.3641159620238706,0.4420134372747682,0.3248045218856396,0.94903106979743,0.7199697835938351,0.0,0.6128618772424749,0.5338489866853401,0.6130503722768637,0.49034331710060014,0.9738490930224795,0.8371888744341494
15,3.454915028125265e-05,0.46055955708026886,0.6624045754256456,0.7779056125217014,0.46853615869833704,0.583889248669735,0.0,0.4541665338673636,0.3465273453550385,0.4231750438948476,0.34814424958222573,0.9485027373535967,0.7592372008352871,0.0,0.6246417082086263,0.5146978211031722,0.5946914902846121,0.5164792264479289,0.97357085434925,0.8631436402945558
16,2.871103542174637e-05,0.43211071074008944,0.603657031836717,0.7948184543185763,0.47991958704984716,0.593281528266255,0.0,0.38755217284556837,0.3580668849476455,0.478938397534096,0.3863786691218336,0.9537367939562061,0.7947641909435806,0.0,0.5586127576749536,0.5273184832298584,0.6476786299316492,0.5573926918055878,0.9763206557879716,0.8856474794337642
17,2.3208660251050158e-05,0.4667602902650833,0.6548994931837787,0.785628424750434,0.47802115184067906,0.590199916441473,0.0,0.4463807594700938,0.32497421753207817,0.3959313400195051,0.40737013091179586,0.9337128261401466,0.8377787888111339,0.0,0.6172382431768977,0.49053666589434664,0.5672647768105454,0.5789097295220726,0.9657202595112491,0.9117297401751994
